2022-03-30T09-27-07,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/27/2022 12:00:00 AM
2022-03-30T09-27-07,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,02780,CVS Store #16547,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,02780,CVS Store #00041,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,02780,CVS Store #05402,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,02780,CVS Store #01041,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,02780,Walgreens Store #17617,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,02780,CVS Store #16547,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/27/2022 12:00:00 AM
2022-03-31T08-53-07,02780,CVS Store #05402,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,02780,CVS Store #01041,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,02780,CVS Store #00041,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,02780,Walgreens Store #17617,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,02780,CVS Store #16547,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/27/2022 12:00:00 AM
2022-03-31T15-09-22,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,02780,CVS Store #00041,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,02780,CVS Store #01041,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,02780,CVS Store #05402,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,02780,CVS Store #16547,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,02780,Pharmerica Taunton,NLP,NLP,NLP,36,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,02780,Walgreens Store #17617,NLP,NLP,NLP,60,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,02780,CVS Store #01041,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,02780,CVS Store #05402,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,02780,CVS Store #00041,NLP,NLP,NLP,15,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,02780,Walgreens Store #12399,NLP,NLP,NLP,59,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,02780,CVS Store #16547,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,02780,CVS Store #01041,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,02780,CVS Store #00041,NLP,NLP,NLP,14,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,02780,CVS Store #05402,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02780,Walgreens Store #12399,NLP,NLP,NLP,59,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02780,CVS Store #00041,NLP,NLP,NLP,14,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02780,CVS Store #05402,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02780,CVS Store #01041,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,02780,CVS Store #16547,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02780,CVS Store #16547,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02780,CVS Store #00041,NLP,NLP,NLP,14,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,02780,CVS Store #01041,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
