2022-04-13T09-20-57,34655,Walgreens Store #06752,NLP,NLP,NLP,80,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,34655,CVS Store #03703,NLP,NLP,NLP,13,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,34655,Walgreens Store #06752,NLP,NLP,NLP,80,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,34655,CVS Store #03703,NLP,NLP,NLP,13,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,34655,Walgreens Store #06752,NLP,NLP,NLP,78,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,34655,CVS Store #03703,NLP,NLP,NLP,13,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,34655,Walgreens Store #06752,NLP,NLP,NLP,77,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,34655,CVS Store #03703,NLP,NLP,NLP,12,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,34655,Walgreens Store #06752,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,34655,Walgreens Store #06752,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,34655,CVS Store #03703,NLP,NLP,NLP,12,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,34655,Walgreens Store #06752,NLP,NLP,NLP,77,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,34655,CVS Store #03703,NLP,NLP,NLP,12,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,34655,CVS Store #03703,NLP,NLP,NLP,12,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,34655,Walgreens Store #06752,NLP,NLP,NLP,75,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,34655,CVS Store #03703,NLP,NLP,NLP,12,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,34655,Walgreens Store #06752,NLP,NLP,NLP,75,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,34655,Walgreens Store #06752,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,34655,CVS Store #03703,NLP,NLP,NLP,12,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,34655,Walgreens Store #06752,NLP,NLP,NLP,10,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,34655,CVS Store #03703,NLP,NLP,NLP,31,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,34655,Walgreens Store #06752,NLP,NLP,NLP,8,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,34655,CVS Store #03703,NLP,NLP,NLP,31,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,34655,CVS Store #03703,NLP,NLP,NLP,31,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,34655,Walgreens Store #06752,NLP,NLP,NLP,8,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,34655,Walgreens Store #06752,NLP,NLP,NLP,8,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,34655,CVS Store #03703,NLP,NLP,NLP,31,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,34655,CVS Store #03703,NLP,NLP,NLP,29,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,34655,CVS Store #03703,NLP,NLP,NLP,29,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,34655,Walgreens Store #06752,NLP,NLP,NLP,7,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,34655,Little Road Pharmacy,NLP,NLP,NLP,79,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,34655,CVS Store #03703,NLP,NLP,NLP,29,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,34655,Walgreens Store #06752,NLP,NLP,NLP,6,04/27/2022 12:00:00 AM
