2022-05-11T06-51-12,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,85737,CVS Store #10006,NLP,NLP,NLP,111,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,85737,CVS Store #16217,NLP,NLP,NLP,38,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,85737,CVS Store #16217,NLP,NLP,NLP,38,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,85737,CVS Store #10006,NLP,NLP,NLP,109,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,18,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,85737,CVS Store #10006,NLP,NLP,NLP,108,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,85737,CVS Store #16217,NLP,NLP,NLP,38,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,85737,CVS Store #16217,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,85737,CVS Store #10006,NLP,NLP,NLP,107,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,85737,CVS Store #16217,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,85737,CVS Store #10006,NLP,NLP,NLP,107,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,85737,CVS Store #10006,NLP,NLP,NLP,107,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,85737,CVS Store #16217,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,85737,CVS Store #10006,NLP,NLP,NLP,107,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,85737,CVS Store #16217,NLP,NLP,NLP,38,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,85737,Walgreens Store #04103,NLP,NLP,NLP,17,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,17,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,17,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,85737,CVS Store #10006,NLP,NLP,NLP,98,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,85737,CVS Store #16217,NLP,NLP,NLP,38,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,17,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,85737,WALGREENS STORE #04103,NLP,NLP,NLP,36,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,85737,CVS Store #16217,NLP,NLP,NLP,38,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,85737,CVS Store #10006,NLP,NLP,NLP,94,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,85737,WALGREENS STORE #04103,NLP,NLP,NLP,33,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,16,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,17,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,85737,CVS Store #16217,NLP,NLP,NLP,38,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,85737,CVS Store #10006,NLP,NLP,NLP,94,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,85737,WALGREENS STORE #04103,NLP,NLP,NLP,33,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,16,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,17,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,85737,CVS Store #16217,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,85737,CVS Store #10006,NLP,NLP,NLP,90,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,85737,WALGREENS STORE #04103,NLP,NLP,NLP,33,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,85737,CVS Store #16217,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,85737,CVS Store #10006,NLP,NLP,NLP,90,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,85737,WALGREENS STORE #04103,NLP,NLP,NLP,33,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85737,CVS Store #16217,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,CVS Store #10006,NLP,NLP,NLP,90,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,WALGREENS STORE #04103,NLP,NLP,NLP,33,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,CVS Store #16217,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,CVS Store #10006,NLP,NLP,NLP,90,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,WALGREENS STORE #04103,NLP,NLP,NLP,33,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,16,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,10,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,CVS Store #16217,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,85737,CVS Store #10006,NLP,NLP,NLP,90,05/20/2022 12:00:00 AM
