2022-03-31T08-53-07,15136,CVS Store #00258,NLP,NLP,NLP,13,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,15136,Rite Aid 10914,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,15136,CVS Store #00258,NLP,NLP,NLP,13,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,15136,Rite Aid 10914,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,15136,CVS Store #00258,NLP,NLP,NLP,13,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,15136,Rite Aid 03527,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,15136,Giant Eagle Inc.,NLP,NLP,NLP,38,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,15136,Rite Aid 10914,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,15136,CVS Store #00258,NLP,NLP,NLP,13,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,15136,Rite Aid 03527,NLP,NLP,NLP,18,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,15136,Rite Aid 10914,NLP,NLP,NLP,19,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,15136,Giant Eagle Inc.,NLP,NLP,NLP,38,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,15136,CVS Store #00258,NLP,NLP,NLP,13,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,15136,Rite Aid 03527,NLP,NLP,NLP,18,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,15136,Rite Aid 10914,NLP,NLP,NLP,19,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,15136,Giant Eagle Inc.,NLP,NLP,NLP,38,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,15136,CVS Store #00258,NLP,NLP,NLP,13,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,15136,CVS Store #00258,NLP,NLP,NLP,11,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,15136,Rite Aid 03527,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,15136,Rite Aid 10914,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,15136,Giant Eagle Inc.,NLP,NLP,NLP,38,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,15136,Rite Aid 10914,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,15136,Rite Aid 03527,NLP,NLP,NLP,18,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,15136,CVS Store #00258,NLP,NLP,NLP,11,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,15136,Giant Eagle Inc.,NLP,NLP,NLP,38,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,15136,Rite Aid 03527,NLP,NLP,NLP,18,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,15136,Rite Aid 10914,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,15136,Giant Eagle Inc.,NLP,NLP,NLP,38,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,15136,CVS Store #00258,NLP,NLP,NLP,11,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,15136,Rite Aid 03527,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,15136,CVS Store #00258,NLP,NLP,NLP,11,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,15136,Rite Aid 10914,NLP,NLP,NLP,19,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,15136,Giant Eagle Inc.,NLP,NLP,NLP,38,04/07/2022 12:00:00 AM
