2022-04-17T05-32-24,29063,Walgreens Store #10226,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,29063,Walgreens Store #09805,NLP,NLP,NLP,17,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,29063,CVS Store #07012,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,29063,CVS Store #05549,NLP,NLP,NLP,16,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,29063,Walgreens Store #10226,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,29063,CVS Store #07012,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,29063,CVS Store #05549,NLP,NLP,NLP,16,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,29063,Walgreens Store #09805,NLP,NLP,NLP,17,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,29063,Walgreens Store #10226,NLP,NLP,NLP,19,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,29063,CVS Store #07012,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,29063,Walgreens Store #09805,NLP,NLP,NLP,17,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,29063,CVS Store #05549,NLP,NLP,NLP,16,04/18/2022 12:00:00 AM
