2022-04-11T07-06-23,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33770,Walgreens Store #05326,NLP,NLP,NLP,58,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33770,CVS Store #04083,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,33770,Walgreens Store #05326,NLP,NLP,NLP,55,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,33770,CVS Store #04083,NLP,NLP,NLP,17,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,33770,CVS Store #04083,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,33770,Walgreens Store #05326,NLP,NLP,NLP,55,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33770,CVS Store #04083,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33770,Walgreens Store #05326,NLP,NLP,NLP,55,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,33770,CVS Store #04083,NLP,NLP,NLP,13,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,33770,Walgreens Store #05326,NLP,NLP,NLP,53,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,33770,CVS Store #04083,NLP,NLP,NLP,12,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,33770,Walgreens Store #05326,NLP,NLP,NLP,53,04/14/2022 12:00:00 AM
