2022-05-12T07-16-49,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-13T06-07-31,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-14T08-49-14,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-15T05-54-13,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-16T05-54-24,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-17T05-27-38,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-18T05-40-23,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-19T05-25-31,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-20T05-59-40,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-21T05-54-21,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,130,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,166,05/20/2022 12:00:00 AM
