2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,27,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,26,05/24/2022 12:00:00 AM
