2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-26T07-59-29,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-26T07-59-29,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-26T07-59-29,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-27T05-48-57,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/27/2022 12:00:00 AM
2022-05-28T05-34-18,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-05-29T05-31-58,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-05-30T05-32-42,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-05-31T08-56-01,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-06-01T05-37-50,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,84,05/28/2022 12:00:00 AM
2022-06-02T07-54-10,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,80,06/02/2022 12:00:00 AM
2022-06-03T08-50-11,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,80,06/02/2022 12:00:00 AM
2022-06-04T19-11-08,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,72,06/04/2022 12:00:00 AM
2022-06-05T08-48-25,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,72,06/04/2022 12:00:00 AM
2022-06-06T06-32-51,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,72,06/04/2022 12:00:00 AM
2022-06-07T05-36-41,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,69,06/07/2022 12:00:00 AM
2022-06-08T05-42-02,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,69,06/07/2022 12:00:00 AM
