facility_id,provider_name,grantee_code,provider_pin,state_provider_pin,npi,address1,address2,city,state,zip,molnupiravir_courses_shipped,paxlovid_courses_shipped,total_courses_shipped,geopoint
245734408768152061765457909059888499559,CVS Store #00381,CV1,000381,,1851474480,303 FRANKLIN AVENUE,CVS Pharmacy,WYCKOFF,NJ,07481,0,20,20,POINT (-74.16564 41.01107)
245734408769235259299832616800425233255,CVS Store #02172,CV1,002172,,1962502302,104 WORCESTER ST,CVS Pharmacy,NORTH GRAFTON,MA,01536,0,20,20,POINT (-71.698035 42.220385)
242510027582274741666041659750915665800,Walgreens Store #05446,WG1,005446,,1679588875,2990 FIVE FORKS TRICKUM RD,,LAWRENCEVILLE,GA,30044,24,20,44,POINT (-84.05894 33.88786)
242515351452490941175189992386822057908,CVS Store #08113,CV1,008113,,1881706737,2115 TWENTY FIVE MILE RD.,CVS Pharmacy,SHELBY TOWNSHIP,MI,48316,0,20,20,POINT (-83.09005 42.69697)
245734408775811815758536199510826830695,CVS Store #06910,CV1,006910,,1700989498,505 EAST 1100 NORTH,CVS Pharmacy,CHESTERTON,IN,46304,0,20,20,POINT (-87.04435 41.59299)
245734408774114483907797260149539359591,CVS Store #02432,CV1,002432,,1124122981,375 WHITE PLAINS ROAD,CVS Pharmacy,EASTCHESTER,NY,10709,24,20,44,POINT (-73.814185 40.95409)
242515351453274325106300272092031659956,CVS Store #08876,CV1,008876,,1043252232,233 EAST WILLOW STREET,CVS Pharmacy,LONG BEACH,CA,90806,0,20,20,POINT (-118.19103 33.80481)
245734408769464955205559396343619406695,CVS Store #02204,CV1,002204,,1114021185,"4859 MACARTHUR BOULEVARD, NW",CVS Pharmacy,WASHINGTON,DC,20007,0,20,20,POINT (-77.09544 38.916775)
245734408776000408186396081662080994151,CVS Store #05857,CV1,005857,,1801031950,7603 CULEBRA,CVS Pharmacy,SAN ANTONIO,TX,78251,0,20,20,POINT (-98.638379 29.459815)
242510027566321756550407013161492967304,Walgreens Store #10336,WG1,010336,,1154556710,1538 E CHAPMAN AVE,,ORANGE,CA,92866,96,40,136,POINT (-117.836955 33.78726)
245734408771568486131688851107608152935,CVS Store #04522,CV1,004522,,1629231923,800 EAST WEST CONNECTOR SW,CVS Pharmacy,AUSTELL,GA,30106,0,20,20,POINT (-84.57699 33.85704)
245734408778539152407586802928963963751,CVS Store #05724,CV1,005724,,1841399151,13101 STATE LINE RD,CVS Pharmacy,KANSAS CITY,MO,64145,0,20,20,POINT (-94.60784 38.89)
245734408760922685364162426595145567079,CVS Store #08867,CV1,008867,,1669417556,7915 FLORENCE AVENUE,CVS Pharmacy,DOWNEY,CA,90240,860,240,1100,POINT (-118.13079 33.95406)
242510027575664335284388867423622295432,Walgreens Store #12739,WG1,012739,,1770598005,15450 N TATUM BLVD,,PHOENIX,AZ,85032,24,0,24,POINT (-111.978416 33.626615)
242510027583575545847947000742899511176,Walgreens Store #04458,WG1,004458,TXA302089,1619984614,3601 W WILLIAM CANNON DR,,AUSTIN,TX,78749,24,0,24,POINT (-97.83434 30.21637)
245734408777223841115846086386883644263,CVS Store #07154,CV1,007154,,1649374471,5603 FM1960 W,CVS Pharmacy,HOUSTON,TX,77069,0,20,20,POINT (-95.51023 29.98122)
242515351454606561359515593442557865908,CVS Store #07116,CV1,007116,,1508958034,1855 W. THUNDERBIRD RD.,CVS Pharmacy,PHOENIX,AZ,85023,24,40,64,POINT (-112.09947 33.611)
282096722934531067581958872373698113580,St. Dominic-Jackson Memorial Hospit,MSA,None,MSA00AV35,None,969 Lakeland Dr,,Jackson,MS,39216,200,260,460,POINT (-90.16509 32.33213)
245734408771822360553807923234296449895,CVS Store #04583,CV1,004583,,1538262399,2703 WASHINGTON RD.,CVS Pharmacy,AUGUSTA,GA,30909,0,20,20,POINT (-82.02194 33.50879)
