Facility ID,Provider Name,Grantee Code,Provider Pin,State Provider Pin,NPI,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Provider Status,Provider Note,Geopoint
245734408761872901058379525126464621415,CVS Store #09113,CV1,009113,,1477594380,645 E. PALOMAR ST.,CVS Pharmacy,CHULA VISTA,CA,91911,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-117.02577 32.61548)
245734408769525401496540127802354715495,CVS Store #00590,CV1,000590,,1417051202,1054 CASS AVENUE,CVS Pharmacy,WOONSOCKET,RI,02895,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-71.479955 42.004605)
245734408771418579330056637089944587111,CVS Store #02665,CV1,002665,,1073617924,2272 N MAIN ST,CVS Pharmacy,CROWN POINT,IN,46307,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-87.363925 41.448965)
245734408771822360553807923234296449895,CVS Store #04583,CV1,004583,,1538262399,2703 WASHINGTON RD.,CVS Pharmacy,AUGUSTA,GA,30909,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-82.02194 33.50879)
245734408775860172791320784677815077735,CVS Store #07477,CV1,007477,,1851495659,2712 HIGHWAY 365,CVS Pharmacy,NEDERLAND,TX,77627,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-93.98709 29.9544)
242510027571360559366560787561668308872,Walgreens Store #07163,WG1,007163,,1073528105,4501 13TH ST,,SAINT CLOUD,FL,34769,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-81.319505 28.2544)
290349693243978975274428594689455852892,PATIENT FIRST - TOWSON,MDA,None,MDAT1060,1952732851,950 York Road,,Towson,MD,21204,03/27/2022 12:00:00 AM,,,ACTIVE,,POINT (-76.60958 39.40995)
242515351452800426185011337455546838964,CVS Store #00526,CV1,000526,,1740385830,10550 W. PARMER LN.,CVS Pharmacy,AUSTIN,TX,78717,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-97.77532 30.49802)
245734408776092286548686793479358663527,CVS Store #06398,CV1,006398,,1407959109,7112 HIGHWAY 70 SOUTH,CVS Pharmacy,NASHVILLE,TN,37221,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-86.92153 36.07488)
242515351452851201069435151880884498356,CVS Store #00715,CV1,000715,,1548343882,2440 HAMBURG TURNPIKE,CVS Pharmacy,WAYNE,NJ,07470,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-74.27936 40.99021)
